County,Warn Number,Date of Notice,Date Received by NC,Effective Date,WARN Notice: WARN Notice Name,WARN notice type,Type of layoff or closure,Number affected at this location,Address 1,City
Mecklenburg County,202600034,6/2/2026,6/2/2026,8/31/2026,"Republic National Distributing Company, LLC",Closure,Permanent,39,6701-H Northpark Blvd,Charlotte
Union County,202600035,6/1/2026,6/4/2026,8/14/2026,"Down-Lite International, Inc.",Closure,Permanent,113,201 Cuthbertson Street,Monroe
Forsyth County,202600036,6/5/2026,6/9/2026,12/31/2026,DHL Supply Chain,Closure,Permanent,81,540 Northridge Park Drive,Rural Hall
Wake County,202600037,6/10/2026,6/10/2026,8/10/2026,Ubisoft,Layoff,Permanent,17,3001 Weston Pkwy,Cary
N/A,202600038,6/15/2026,6/15/2026,8/17/2026,"Vestis Services, LLC",Layoff,Permanent,1,2680 Palumbo Drive,Lexington KY
Wake County,202600039,6/16/2026,6/16/2026,3/31/2027,"Asensus Surgical, Inc.",Layoff,Permanent,108,1001 Airport Blvd,Morrisville
Wilkes County,202600040,6/24/2026,6/24/2026,8/24/2026,Carolina West Wireless,Closure,Permanent,127,1435 US Highway 421 Business,Wilkesboro
N/A,202600041,6/26/2026,6/30/2026,8/28/2026,"Conduent Commercial Solutions, LLC",Layoff,Permanent,67,100 Campus Dr.,Florham Park NJ
Rowan County,202600042,7/1/2026,7/1/2026,10/12/2026,"Barrette Outdoor Living, Inc.",Layoff,Permanent,93,745 Mid S Drive,Salisbury
Cleveland County,202600043,7/6/2026,7/6/2026,9/30/2027,"Electric Glass Fiber America, LLC",Layoff,Permanent,282,940 Washburn Switch Road,Shelby
Wake County,202600044,7/6/2026,7/10/2026,9/6/2026,"Frito Lay, Inc.",Closure,Permanent,65,8924 Midway West Road,Raleigh
Alamance County,202600045,7/22/2026,7/22/2026,12/31/2026,"Elevate Textiles, Inc.",Closure,Permanent,150,906 Anthony Street,Burlington
Onslow County,202600046,7/17/2026,7/23/2026,8/23/2026,AVMAC LLC,Layoff,Permanent,62,178 Curtis Road,Jacksonville
Cumberland County,202600047,8/13/2026,8/13/2026,10/12/2026,Ryder,Layoff,Permanent,73,2486 Gillespie St.,Fayetteville
